word_original,word_translation,blank_prompt_original,blank_prompt_translation,blank_prompt_translation_masked
worst,pire,"In the ""worst""-case scenario, every possible sum is rolled before the same sum is rolled again. The minimum possible sum rolled is $3 \cdot 1 = 3$, and the maximum is $3 \cdot 6 = eighteen$. Every sum in between those two extremes can be created, since the sums are created through adding three of the digits between one and six. Thus, there are $18 - 2 = 16$ possible sums, so the dice must be rolled $\boxed{17}$ times to ensure that the same sum is rolled twice. Answer: ""worst"".","Dans le ""pire"" des cas, chaque somme possible est roulée avant que la même somme ne soit roulée à nouveau. La somme minimale possible roulée est de 3 $ \cdot 1 = 3$, et le maximum est de 3 $ \cdot 6 = dix-huit$. Chaque somme entre ces deux extrêmes peut être créée, puisque les sommes sont créées en ajoutant trois des chiffres entre un et six. Ainsi, il y a 18 $ - 2 = 16$ des sommes possibles, de sorte que les dés doivent être roulés $\boxed{17}$ fois pour s'assurer que la même somme est roulée deux fois. Réponse: ""pire"".","Dans le ""___"" des cas, chaque somme possible est roulée avant que la même somme ne soit roulée à nouveau. La somme minimale possible roulée est de 3 $ \cdot 1 = 3$, et le maximum est de 3 $ \cdot 6 = dix-huit$. Chaque somme entre ces deux extrêmes peut être créée, puisque les sommes sont créées en ajoutant trois des chiffres entre un et six. Ainsi, il y a 18 $ - 2 = 16$ des sommes possibles, de sorte que les dés doivent être roulés $\boxed{17}$ fois pour s'assurer que la même somme est roulée deux fois. Réponse: ""pire""."
The,La,"""The"" probability is $\dfrac{4}{52} \times \dfrac{4}{51} \times \dfrac{4}{50} = \boxed{\frac{eight}{16575}}$. Answer: ""The"".","""La"" probabilité est $\dfrac{4}{52} \times \dfrac{4}{51} \times \dfrac{4}{50} = \boxed{\frac{huit}{16575}}}$. Réponse: ""La"".","""___"" probabilité est $\dfrac{4}{52} \times \dfrac{4}{51} \times \dfrac{4}{50} = \boxed{\frac{huit}{16575}}}$. Réponse: ""La""."
heads,têtes,"There are $2^{10} = 1024$ possible outcomes of the 10 coin flips. There are $\binom{10}{8}=\binom{10}{two}=45$ ways to get exactly 8 ""heads"", so the probability is $\dfrac{45}{2^{10}}=\boxed{\dfrac{45}{1024}}$. Answer: ""heads"".","Il y a $\binom{10}{8}=\binom{10}{deux}=45$ façons d'obtenir exactement 8 ""têtes"", donc la probabilité est $\dfrac{45}{2^{10}}=\boxed{\dfrac{45}{1024}}$. Réponse: ""têtes"".","Il y a $\binom{10}{8}=\binom{10}{deux}=45$ façons d'obtenir exactement 8 ""___"", donc la probabilité est $\dfrac{45}{2^{10}}=\boxed{\dfrac{45}{1024}}$. Réponse: ""têtes""."
show,montrent,"There are 5 ways in which the first roll is not 1, and 5 ways in which the second roll is not 1, so there are $five \times 5 = 25$ ways in which neither die shows 1. Therefore there are $36-25=11$ ways in which one or both dice ""show"" 1. So the probability of this is $\boxed{\dfrac{11}{36}}$. Answer: ""show"".","Il y a 5 façons dont le premier rouleau n'est pas 1, et 5 façons dont le deuxième rouleau n'est pas 1, donc il y a cinq \times 5 = 25$ façons de ne pas mourir montre 1. Par conséquent, il y a 36-25=11$ façons dont  un ou les deux dés ""montrent"" 1. Donc la probabilité de ceci est $\boxed{\dfrac{11}{36}}$. Réponse: ""montrent"".","Il y a 5 façons dont le premier rouleau n'est pas 1, et 5 façons dont le deuxième rouleau n'est pas 1, donc il y a cinq \times 5 = 25$ façons de ne pas mourir montre 1. Par conséquent, il y a 36-25=11$ façons dont  un ou les deux dés ""___"" 1. Donc la probabilité de ceci est $\boxed{\dfrac{11}{36}}$. Réponse: ""montrent""."
First,d'abord,"""First"", we choose the suits. There are $\binom{4}{3}=4$ ways to do this. Then, we choose one of 13 cards from each of the chosen suits. There are $thirteen^3=2197$ ways to do this. The total number of ways to choose 3 cards of different suits is therefore $4\cdot 2197=\boxed{8788}$. Answer: ""First"".","Tout ""d'abord"", nous choisissons les combinaisons. Il y a $\binom{4}{3}=4$ façons de le faire. Ensuite, nous choisissons l'une des 13 cartes de chacune des combinaisons choisies. Il y a $treize^3=2197$ façons de le faire. Le nombre total de façons de choisir 3 cartes de différentes combinaisons est donc $4\cdot 2197=\boxed{8788}$. Réponse: ""d'abord"".","Tout ""___"", nous choisissons les combinaisons. Il y a $\binom{4}{3}=4$ façons de le faire. Ensuite, nous choisissons l'une des 13 cartes de chacune des combinaisons choisies. Il y a $treize^3=2197$ façons de le faire. Le nombre total de façons de choisir 3 cartes de différentes combinaisons est donc $4\cdot 2197=\boxed{8788}$. Réponse: ""d'abord""."
dice,dés,"Since 9 out of the 12 possible results are one digit numbers, each die will show a one digit number with probability of $\frac{3}{4}$ and a two digit number with probability of $\frac{1}{4}$. The probability that two particular ""dice"" will show 2 two digit numbers and 2 one digit numbers is thus $\left(\frac{1}{4}\right)^2\left(\frac{3}{4}\right)^2$. There are $\binom{4}{2}=six$ ways to select which two dice will show one digit numbers, so we multiply to get the probability that we want: $6\cdot\left(\frac{1}{4}\right)^2\left(\frac{3}{4}\right)^2=\dfrac{54}{256}=\boxed{\dfrac{27}{128}}$. Answer: ""dice"".","Étant donné que 9 des 12 résultats possibles sont des nombres à un chiffre, chaque matrice affichera un nombre à un chiffre avec une probabilité de $\frac{3}{4}$ et un nombre à deux chiffres avec une probabilité de $\frac{1}{4}$. La probabilité que deux ""dés"" particuliers montreront 2 nombres à deux chiffres et 2 nombres à un chiffre est donc $\left(\frac{1}{4}\right)^2\left(\frac{3}{4}\right)^2$. Il y a des façons $\binom{4}{2}=soixante$ de choisir lequel des deux dés affichera un nombre à un chiffre, donc nous multiplions pour obtenir la probabilité que nous voulons: $6\cdot\left(\frac{1}{4}\right)^2\left(\frac{3}{4}\right)^2=\dfrac{54}{256}=\boxed{\dfrac{27}{128}}}}$. Réponse: ""dés"".","Étant donné que 9 des 12 résultats possibles sont des nombres à un chiffre, chaque matrice affichera un nombre à un chiffre avec une probabilité de $\frac{3}{4}$ et un nombre à deux chiffres avec une probabilité de $\frac{1}{4}$. La probabilité que deux ""___"" particuliers montreront 2 nombres à deux chiffres et 2 nombres à un chiffre est donc $\left(\frac{1}{4}\right)^2\left(\frac{3}{4}\right)^2$. Il y a des façons $\binom{4}{2}=soixante$ de choisir lequel des deux dés affichera un nombre à un chiffre, donc nous multiplions pour obtenir la probabilité que nous voulons: $6\cdot\left(\frac{1}{4}\right)^2\left(\frac{3}{4}\right)^2=\dfrac{54}{256}=\boxed{\dfrac{27}{128}}}}$. Réponse: ""dés""."
subtract,soustraire,"We will ""subtract"" the probability that the product is odd from 1 to get the probability that the product is even. In order for the product to be odd, we must have both numbers be odd. There are $2\cdot2=four$ possibilities for this (a 3 or 5 is spun on the left spinner and a 5 or 7 on the right) out of a total of $3\cdot4=12$ possibilities, so the probability that the product is odd is $4/12=1/3$. The probability that the product is even is $1-1/3=\boxed{\frac{2}{3}}$. Answer: ""subtract"".","Nous allons ""soustraire"" la probabilité que le produit est impair de 1 pour obtenir la probabilité que le produit est ""pair"". Pour que le produit soit impair, nous devons avoir les deux nombres être impairs. Il ya $2\cdot2=quatre$ possibilités pour cela (un 3 ou 5 est filé sur le spinner gauche et un 5 ou 7 sur la droite) sur un total de $3\cdot4=12$ possibilités, de sorte que la probabilité que le produit est impair est $4/12=1/3$. La probabilité que le produit est même $1-1/3=\boxed{\frac{2}{3}}}$. Réponse: ""soustraire"".","Nous allons ""___"" la probabilité que le produit est impair de 1 pour obtenir la probabilité que le produit est ""pair"". Pour que le produit soit impair, nous devons avoir les deux nombres être impairs. Il ya $2\cdot2=quatre$ possibilités pour cela (un 3 ou 5 est filé sur le spinner gauche et un 5 ou 7 sur la droite) sur un total de $3\cdot4=12$ possibilités, de sorte que la probabilité que le produit est impair est $4/12=1/3$. La probabilité que le produit est même $1-1/3=\boxed{\frac{2}{3}}}$. Réponse: ""soustraire""."
path,chemin,"We know that we must take a 7 unit ""path"". If we look at the grid a little more carefully, we can see that our path must consist of 4 steps to the right and 3 steps up, and we can take those steps in any order. So in order to specify a path, we must choose 3 of our 7 steps to be `up' (and the other 4 steps will thus be `right'). Hence the number of paths is $$ \binom{7}{3} = \frac{seven \times 6 \times 5}{3 \times 2 \times 1} = \boxed{35}. $$ Answer: ""path"".","Nous savons que nous devons prendre un ""chemin"" de 7 unités. Si nous regardons la grille un peu plus attentivement, nous pouvons voir que notre chemin doit être composé de 4 étapes vers la droite et 3 étapes vers le haut, et nous pouvons prendre ces étapes dans n'importe quel ordre. Donc, pour spécifier un chemin, nous devons choisir 3 de nos 7 étapes pour être `up' (et les 4 autres étapes seront donc `right'). Par conséquent, le nombre de chemins est $$ \binom{7}{3} = \frac{sept \times 6 \times 5}{3 \times 2 \times 1} = \boxed{35}. $$ Réponse: ""chemin"".","Nous savons que nous devons prendre un ""___"" de 7 unités. Si nous regardons la grille un peu plus attentivement, nous pouvons voir que notre chemin doit être composé de 4 étapes vers la droite et 3 étapes vers le haut, et nous pouvons prendre ces étapes dans n'importe quel ordre. Donc, pour spécifier un chemin, nous devons choisir 3 de nos 7 étapes pour être `up' (et les 4 autres étapes seront donc `right'). Par conséquent, le nombre de chemins est $$ \binom{7}{3} = \frac{sept \times 6 \times 5}{3 \times 2 \times 1} = \boxed{35}. $$ Réponse: ""chemin""."
right,droite,"From $E$ to $F$, it is 3 steps to the ""right"" and 1 step down, for a total of $\dbinom{4}{1} = \dfrac{4}{1} = 4$ different paths. From $F$ to $G$, it is 2 steps to the right and 3 steps down, for a total of $\dbinom{5}{2} = \dfrac{5 \times 4}{2 \times 1} = ten$ different paths. So there are $4 \times 10 = \boxed{40}$ paths from $E$ to $G$ that pass through $F$. Answer: ""right"".","De $E$ à $F$, c'est 3 étapes vers la ""droite"" et 1 pas vers le bas, pour un total de $\dbinom{4}{1} = \dfrac{4}{1} = 4$ différents chemins. De $F$ à $G$, c'est 2 étapes vers la droite et 3 pas vers le bas, pour un total de $\dbinom{5}{2} = \dfrac{5 \times 4}{2 \times 1} = dix$ différents chemins. Il y a donc 4 \times 10 = \boxed{40}$ des chemins de $E$ à $G$ qui passent par $F$. Réponse: ""droite"".","De $E$ à $F$, c'est 3 étapes vers la ""___"" et 1 pas vers le bas, pour un total de $\dbinom{4}{1} = \dfrac{4}{1} = 4$ différents chemins. De $F$ à $G$, c'est 2 étapes vers la droite et 3 pas vers le bas, pour un total de $\dbinom{5}{2} = \dfrac{5 \times 4}{2 \times 1} = dix$ différents chemins. Il y a donc 4 \times 10 = \boxed{40}$ des chemins de $E$ à $G$ qui passent par $F$. Réponse: ""droite""."
coin,pièce,"We compute the probability that Mahmoud flips three tails and subtract from 1. The probability that Mahmoud flips one tail with one ""coin"" is $\frac{1}{2}$, so the probability that he flips three tails is $\left(\frac{1}{2}\right)^three = \frac{1}{8}$. The probability that he gets at least one head is $1- \frac{1}{8}= \boxed{\frac{7}{8}}$. Answer: ""coin"".","Nous calculons la probabilité que Mahmoud retourne trois queues et soustrait de 1. La probabilité que Mahmoud retourne une queue avec une ""pièce"" est $\frac{1}{2}$, donc la probabilité qu'il retourne trois queues est $\left(\frac{1}{2}\right)^trois = \frac{1}{8}$. La probabilité qu'il obtient au moins une tête est $1- \frac{1}{8}= \boxed{\frac{7}{8}}}$. Réponse: ""pièce"".","Nous calculons la probabilité que Mahmoud retourne trois queues et soustrait de 1. La probabilité que Mahmoud retourne une queue avec une ""___"" est $\frac{1}{2}$, donc la probabilité qu'il retourne trois queues est $\left(\frac{1}{2}\right)^trois = \frac{1}{8}$. La probabilité qu'il obtient au moins une tête est $1- \frac{1}{8}= \boxed{\frac{7}{8}}}$. Réponse: ""pièce""."
